Pipeline,F1 Score
quantile_distribution_normal,0.671578947368421
"power_trans,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
"power_trans,power_standardize_True,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,standardizer,quantile_distribution_normal",0.6887643946467477
