Pipeline,F1 Score,Edit Distance with Best,Best Pipeline,Best F1 Score
"quantile_n_quantiles_1000,minmax,quantile_n_quantiles_2000,power_trans,binarizer_threshold_0.6,quantile_n_quantiles_1500",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standard_with_mean_False,quantile_n_quantiles_500,power_standardize_False,power_standardize_True,normalizer_norm_l1",0.43,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_500,power_standardize_False,quantile_distribution_uniform",0.49,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_100,quantile_n_quantiles_2000",0.49,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_1200,binarizer_threshold_0,quantile_n_quantiles_1500",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_10,binarizer",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_standardize_True,quantile_n_quantiles_1000,binarizer_threshold_0.6",0.563636364,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_standardize_True,quantile_n_quantiles_100,quantile_n_quantiles_1500,quantile_n_quantiles_1500",0.569699686,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_500,binarizer_threshold_0.4,quantile_n_quantiles_1200",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_0.4,quantile_n_quantiles_1200,binarizer_threshold_0.8",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer,normalizer_norm_max,quantile_trans,standardizer,binarizer_threshold_0,binarizer_threshold_0",0.414634146,6,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standard_with_mean_False,binarizer_threshold_0.2,normalizer",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standardizer,quantile_n_quantiles_1200,power_trans,power_standardize_False,quantile_n_quantiles_10",0.49,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,normalizer,binarizer_threshold_0.8,quantile_n_quantiles_100",0.414634146,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_1000,standard_with_mean_False,standard_with_mean_True,normalizer_norm_l1,quantile_n_quantiles_10,standard_with_mean_False",0.595789474,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_500,quantile_n_quantiles_100,quantile_n_quantiles_10,quantile_n_quantiles_2000,minmax,normalizer_norm_l1",0.414634146,6,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_500,standard_with_mean_False,power_standardize_False,power_trans,normalizer_norm_l2,quantile_n_quantiles_1200",0.44082013,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"maxabs,quantile_distribution_uniform",0.49,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"minmax,normalizer,maxabs,power_trans",0.680851064,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_standardize_True,quantile_n_quantiles_100",0.49,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_0.8,power_standardize_False,normalizer,quantile_n_quantiles_200",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer_norm_l2,quantile_distribution_uniform,binarizer_threshold_0.6,standard_with_mean_True,quantile_n_quantiles_2000,quantile_distribution_uniform",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,quantile_n_quantiles_100",0.52,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer_norm_max,power_standardize_True,normalizer_norm_l2,standardizer,quantile_n_quantiles_500",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer_norm_l2,quantile_n_quantiles_1200,binarizer_threshold_0.6",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_trans,power_standardize_True,binarizer_threshold_0.4,binarizer_threshold_1.0",0.414634146,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standardizer,power_standardize_False,binarizer_threshold_0.6,quantile_n_quantiles_10,quantile_n_quantiles_100,normalizer_norm_l1",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_1.0,quantile_n_quantiles_2000,binarizer_threshold_0.2,binarizer_threshold_0.8,normalizer_norm_max",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer_norm_max,binarizer_threshold_0.4,quantile_distribution_uniform,minmax",0.414634146,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"maxabs,quantile_n_quantiles_500,binarizer_threshold_0.6,minmax,quantile_n_quantiles_1200,power_standardize_False",0.414634146,6,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standardizer,power_trans",0.680851064,2,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
quantile_distribution_uniform,0.49,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_0.4,standard_with_mean_False,power_trans,normalizer_norm_l1,binarizer_threshold_0.4,quantile_n_quantiles_10",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standard_with_mean_False,quantile_distribution_uniform,binarizer_threshold_0.8",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_trans,quantile_n_quantiles_1500,quantile_n_quantiles_200",0.49,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
minmax,0.444444444,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_0.4,normalizer_norm_l2,quantile_n_quantiles_10",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_1000,standard_with_mean_False",0.623487225,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_0.4,binarizer,quantile_n_quantiles_100,quantile_trans",0.414634146,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_distribution_uniform,binarizer_threshold_0,quantile_n_quantiles_10,binarizer_threshold_1.0",0.414634146,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standard_with_mean_True,power_standardize_True,quantile_n_quantiles_1500,binarizer_threshold_0.4",0.414634146,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_10,quantile_n_quantiles_500,binarizer,quantile_distribution_uniform",0.414634146,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
